x,y,z
-6.98507,7.13543,0.5426
4.78652,7.13143,-5.12171
-0.070236,7.12743,7.01391
-4.68907,7.12343,-5.22202
6.98899,7.11942,0.683956
-5.61846,7.11542,4.21944
1.29385,7.11142,-6.9104
3.71637,7.10742,5.9727
-6.77861,7.10342,-1.89522
6.28194,7.09942,-3.18362
-2.48343,7.09542,6.59451
-2.62522,7.09142,-6.5437
6.3594,7.08742,3.05394
-6.75585,7.08342,2.04541
3.60232,7.07942,-6.07496
1.44858,7.07541,6.91665
-5.74327,7.07141,-4.12431
7.02476,7.06741,-0.839291
-4.61584,7.06341,5.36677
-0.222181,7.05941,-7.07922
4.94825,7.05541,5.07307
-7.07949,7.05141,-0.398025
5.49241,7.04741,-4.49082
-1.01657,7.04341,7.02545
-3.99791,7.03941,-5.87056
6.9174,7.03541,1.6287
-6.20451,7.03141,3.47323
2.22971,7.02741,-6.75603
2.92074,7.02341,6.49161
-6.54248,7.0194,-2.81494
6.72955,7.0154,-2.34462
-3.37988,7.0114,6.27827
-1.74923,7.0074,-6.91639
5.96531,7.0034,3.92014
-7.05059,6.9994,1.13911
4.43152,6.9954,-5.6059
0.518913,6.9914,7.13099
-5.20269,6.9874,-4.91002
7.15687,6.9834,0.106625
-5.3519,6.9794,4.75869
0.732711,6.9754,-7.1279
4.27722,6.97139,5.7537
-7.04419,6.96739,-1.35454
6.11223,6.96339,-3.7619
-1.96732,6.95939,6.90627
-3.2166,6.95539,-6.42464
6.71506,6.95139,2.56634
-6.68845,6.94739,2.64545
3.14697,6.94339,-6.47193
2.05277,6.93939,6.90152
-6.17864,6.93539,-3.7047
7.06211,6.93139,-1.44308
-4.2345,6.92739,5.83784
-0.821018,6.92338,-7.16887
5.45108,6.91938,4.73369
-7.22086,6.91538,0.191332
5.19764,6.91138,-5.02168
-0.441159,6.90738,7.21758
-4.55285,6.90338,-5.62271
7.15893,6.89938,1.0716
-6.00554,6.89538,4.04811
1.69516,6.89138,-7.04524
3.51126,6.88738,6.34311
-6.87726,6.88338,-2.30702
6.63274,6.87938,-2.94634
-2.90247,6.87538,6.65619
-2.35765,6.87137,-6.8721
6.3836,6.86737,3.4769
-7.05924,6.86337,1.74964
4.02586,6.85937,-6.06147
1.12694,6.85537,7.19263
-5.69219,6.85137,-4.54508
7.27112,6.84737,-0.494316
-5.03051,6.84337,5.27848
0.143409,6.83937,-7.294
4.82342,6.83537,5.47835
-7.26099,6.83137,-0.781348
5.8851,6.82736,-4.33044
-1.4146,6.82336,7.17221
-3.80323,6.81936,-6.24753
7.02824,6.81536,2.0383
-6.56279,6.81136,3.24578
2.64764,6.80736,-6.83007
2.66229,6.80336,6.82836
-6.57911,6.79936,-3.23791
7.04209,6.79536,-2.0572
-3.80453,6.79136,6.27718
-1.43511,6.78736,-7.20224
5.92649,6.78336,4.34313
-7.30747,6.77936,0.800756
4.84949,6.77536,-5.52965
0.158987,6.77135,7.35687
-5.08959,6.76735,-5.31968
